	superclass
K19551	Energy/central carbon
K19552	Transport
K19572	Carbohydrate metabolism
K19575	Transcriptional regulation
K19578	Antibiotic resistance/efflux
K19580	Carbohydrate metabolism
K19587	Transcriptional regulation
K19592	Transcriptional regulation
K19593	Antibiotic resistance/efflux
K19594	Antibiotic resistance/efflux
K19595	Antibiotic resistance/efflux
K19597	Carbohydrate metabolism
K19609	Signal transduction
K19616	Signal transduction
K19617	Signal transduction
K19618	Transcriptional regulation
K19620	Other
K19621	Signal transduction
K19622	Signal transduction
K19623	Signal transduction
K19624	Transcriptional regulation
K19640	Signal transduction
K19641	Signal transduction
K19646	Transport
K19661	Signal transduction
K19668	Carbohydrate metabolism
K19670	Other
K19686	Translation/ribosome
K19687	Defense systems
K19697	SCFA fermentation
K19701	Carbohydrate metabolism
K19702	Amino acid metabolism
K19709	SCFA fermentation
K19710	Carbohydrate metabolism
K19711	Cofactors/vitamins
K19713	Energy/central carbon
K19714	Energy/central carbon
K19715	Carbohydrate metabolism
K19720	Carbohydrate metabolism
K19731	Transcriptional regulation
K19736	Antibiotic resistance/efflux
K19737	RNA processing/degradation
K19744	Energy/central carbon
K19746	Energy/central carbon
K19761	Carbohydrate metabolism
K19777	Protein folding/quality control
K19778	Protein folding/quality control
K20038	Other
K20107	Other
K20116	Other
K20117	Other
K20484	Carbohydrate metabolism
K20895	Carbohydrate metabolism
K20938	Tryptophan metabolism
K21001	Other
K21487	Defense systems
K21512	Mobilome
K21591	Cell envelope/biogenesis
K21602	Transcriptional regulation
K21622	Energy/central carbon
K21703	Transcriptional regulation
K21960	Transcriptional regulation
K22186	Energy/central carbon
K22300	Transcriptional regulation
K22303	Carbohydrate metabolism
K22306	Signal transduction
