	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
f1e94	May	47.4	8.31	286	3.54	14.43	8.881304909	5.421148874	household	Switzerland	pre	started myself	glass jar	other	no	wheat	endosperm	no	no	tap water	no	8	50	24	5	kitchen counter	100	4	4.6	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	>5	no	no	no	no	no	no	10	6	200	0	1	0	0	0	0	0	0	0	0	0	0	0	ETHZ	3
dcfd2	May	47.49	7.98	511	3.57	12.59	9.200915737	7.265791775	household	Switzerland	post	started myself	glass jar	closed lid	yes	wheat	endosperm	no	no	tap water	no	4	200	26	2	warm place	200	7	4.8	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	2	5	160	0	1	1	0	0	0	1	0	0	0	0	1	0	ETHZ	3
b2b02	June	46.95	7.42	555	3.68	14.17	9.39713607	6.229169703	household	Switzerland	covid	received from a home baker	glass jar	closed lid	yes	wheat	endosperm	yes	no	tap water	no	8	50	20	8	kitchen counter	50	5		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	2	20	200														ETHZ	3
ec61b	May	47.38	8.07	393	3.83	19.84	9.97840613	0	household	Switzerland	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	yes	tap water	no	4	50	30	5	other	50	5	4.1	no	no	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	5	3	200	0	0	1	0	0	0	0	0	0	0	0	0	0	ETHZ	1
316fe	May	47.38	8.07	393	3.55	22.54	10.09619853	3.380211242	household	Switzerland	covid	started myself	glass jar	closed lid	yes	wheat	wholemeal	yes	no	tap water	no	4	50	30	5	other	50	5	4.4	no	no	no	no	no	yes	no	0	1	0	1	0	0	0	0	0	0	2	fridge	4	>5	yes	no	no	no	yes	no	2	3	200	0	0	0	0	1	0	0	0	0	0	0	1	0	ETHZ	1
9d6a0	June	47.5	7.56	319	3.72	10.94	9.081966427	6.802773725	household	Switzerland	pre	started myself	plastic container	closed lid	yes	wheat	endosperm	no	no	tap water	yes	8	150	18	4	kitchen counter	150	5	4.6	yes	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	12	>5	yes	no	no	yes	yes	no	7	2	150	2	2	1	0	1	0	2	0	1	0	0	2	0	ETHZ	3
e6071	May	47.07	8.31	447	3.59	21.74	9.269512944	5.642519942	household	Switzerland	pre	received from a home baker	glass jar	closed lid	yes	rye	wholemeal	yes	yes	tap water	no	1	70	22	18	kitchen counter	80	5	4.2	no	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	2 to 5	yes	no	yes	no	no	no	4	2	242.8571429	3	1	2	0	2	0	1	0	0	0	2	2	1	ETHZ	3
5c824	May	47.55	7.55	916	3.57	13.79	8.662757832	7.338003527	household	Switzerland	covid	started myself	glass jar	other	yes	other	mix	no	yes	tap water (descaled/filtered)	no	8	80	23	8	kitchen counter	100	4	4.6	no	no	no	no	yes	yes	no	0	0	0.9	0.1	0	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	no	yes	no	4	3	225	2	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
a2028	June	47.69	8.66	462	3.63	15.19	8.488591693	6.407916641	bakery	Switzerland	post	started myself	plastic container	loose lid	no	wheat	endosperm	no	yes	tap water	no	4	700	27	3	proofing chamber	600	5	4.8	yes	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	2	fridge	4	2 to 5	yes	no	no	no	no	no	1	4	150	1	0	2	0	0	1	1	0	1	0	0	0	0	ETHZ	2
858f6	June	47.69	8.66	462	3.84	27.92	8.892422811	6.832523595	bakery	Switzerland	post	started myself	plastic container	loose lid	no	rye	wholemeal	no	yes	tap water	no	4	300	27	3	proofing chamber	300	5	4.4	yes	no	no	no	yes	yes	no	0	0	0	0	1	0	0	0	0	0	2	fridge	4	2 to 5	yes	no	no	no	no	no	1	4	200	2	0	1	0	0	0	0	0	1	0	0	1	0	ETHZ	1
eb9df	May	46.32	7.71	1065	3.98	26.24	9.146128036	6.255466075	household	Switzerland	pre	started myself	glass jar	loose lid	yes	rye	wholemeal	yes	yes	tap water	no	4	50	26	11	warm place	80	5	4.6	no	no	no	yes	no	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	1	>5	yes	no	no	yes	yes	no	5	5	200	1	0	1	0	0	0	1	0	0	0	0	1	0	ETHZ	1
4f682	May	46.32	7.95	1115	3.6	18.07	9.132972973	6.591064607	household	Switzerland	covid	started myself	glass jar	loose lid	no	spelt	endosperm	no	no	tap water	no	4	20	22	6	kitchen counter	50	7	4.8	yes	yes	no	no	yes	no	no	0	0	0	0	0	0	1	0	0	0		other				no	no	no	no	no	3	8	200	0	1	0	0	0	0	0	0	1	0	0	0	0	ETHZ	4
2b216	May	46.3	7.7	624	3.66	26.51	9.155431648	5.1774403	household	Switzerland	pre	received from a home baker	glass jar	loose lid	no	rye	wholemeal	yes	no	tap water	no	4	20	21	13	kitchen counter	50	7	4.1	no	no	no	no	yes	yes	no	0	0	0	0	1	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	yes	no	no	4	6	200	2	1	1	0	0	0	0	0	1	0	1	1	0	ETHZ	3
ebfd2	May	46.29	7.88	656	3.57	25.18	9.635483747	6.301029996	household	Switzerland	covid	started myself	plastic container	plastic wrap	yes	rye	wholemeal	yes	no	tap water	no	12	100	30	12	warm place	50	6	4.1	no	yes	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	2	other	3	>5	no	no	no	yes	yes	no	3	8	150	1	0	0	0	0	0	1	0	1	0	1	1	0	ETHZ	3
fcd5a	May	46.32	7.85	1014	3.75	18.38	9.37822586	6.77815125	household	Switzerland	covid	received from a home baker	glass jar	closed lid	yes	rye	endosperm	no	no	tap water	no	4	10	20	20	warm place	150	6	4.1	yes	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	3	2 to 5	yes	no	no	no	no	no	3	7	200	1	2	0	0	0	0	0	0	1	0	0	1	0	ETHZ	1
dde9c	May	46.32	7.69	1193	3.95	14.9	9.354108439	6.076640444	household	Switzerland	pre	received from a bakery	plastic container	closed lid	no	rye	wholemeal	yes	no	tap water	yes		18000	28	14	warm place	2000	4	4.1	no	no	no	no	no	no	no	0.1	0	0	0.9	1	0	0	0	0	0	1	other	1	>5	yes	no	no	yes	no	no	20	2	166.6666667	0	1	1	0	0	0	0	0	1	0	1	1	0	ETHZ	3
b5540	May	46.32	8.02	898	3.83	18.8	8.935233114	5.821157747	bakery	Switzerland	covid	started myself	plastic container	closed lid	yes	rye	wholemeal	yes	no	tap water	yes	8	7500	27	6	proofing chamber	6000	5	4.1	no	no	no	no	no	no	no	0	0	0	0	1	0	1	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	2	2	164	0	1	0	0	1	0	1	0	0	0	0	0	0	ETHZ	3
e644a	May	46.32	8.02	898	3.7	14.35	9.204119983	6.789785939	bakery	Switzerland	covid	started myself	plastic container	plastic wrap	yes	spelt	endosperm	yes	no	tap water	no	8	500	27	3	proofing chamber	1300	5	4.4	no	no	no	no	no	no	no	0	0	0	0	0	0	1	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	2	2	160	0	0	0	0	2	0	0	0	0	0	0	1	0	ETHZ	3
1c92f	May	46.32	8.02	898	3.63	17.09	9.311753861	6.727362263	bakery	Switzerland	covid	started myself	plastic container	plastic wrap	yes	wheat	wholemeal	yes	no	tap water	yes	8	500	27	3	proofing chamber	1300	5	4.4	no	no	no	no	no	no	no	0	1	0	0	0	0	1	0	0	0	3	fridge	30	professional	yes	no	no	no	no	no	4	2	160	0	2	0	0	1	0	0	0	1	0	0	1	0	ETHZ	3
0cb25	May	47.57	7.58	263	3.71	22.81	9.305351369	7.014100322	household	Switzerland	pre	received from a home baker	glass jar	loose lid	yes	wheat	wholemeal	yes	yes	tap water	no	8	45	22	12	kitchen counter	20	4	4.4	no	no	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	3	keep at RT	4	2 to 5	yes	no	no	no	yes	no	8	3	200	1	0	0	0	0	0	0	0	0	1	1	1	0	ETHZ	2
bf2ec	May	47.57	7.58	263	3.74	27.27	8.857332496	6.954242509	household	Switzerland	pre	received from a home baker	glass jar	loose lid	yes	wheat	wholemeal	yes	yes	tap water	no	8	56	22	12	kitchen counter	20	4	4.1	no	no	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	3	keep at RT	4	2 to 5	yes	no	no	no	yes	no	8	3	160.7142857	1	1	1	0	0	0	0	0	1	1	0	0	0	ETHZ	2
bae0d	May	46.97	6.86	469	3.7	33.38	8.509531232	4.887817125	household	Switzerland	covid	started myself	glass jar	loose lid	yes	rye	endosperm	yes	yes	tap water	no	4	50	21	8	kitchen counter	150	3	4.6	no	yes	no	no	yes	yes	no	0	0	0	1	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	yes	no	4	2	200	1	1	0	0	0	0	0	0	1	0	1	1	0	ETHZ	3
907c7	May	47.2	9.44	467	3.67	12.87	9.442617801	7.62112548	household	Switzerland	post	started myself	glass jar	closed lid	yes	other	mix	no	yes	tap water	no	4	40	22	8	warm place	30	4	4.6	no	no	no	no	no	yes	no	0.75	0	0	0.25	0	0	0	0	0	0	1	fridge	4	0.5 to 2	yes	no	no	no	no	no	1	2	200	3	0	0	0	0	0	0	0	0	0	0	0	0	ETHZ	3
03a22	May	46.29	7.54	527	3.73	17.51	8.900343063	7.9987291	household	Switzerland	pre	started myself	glass jar	other	yes	rye	endosperm	yes	no	tap water	yes	4	80	20	6	kitchen counter	150	5	4.4	no	no	no	no	yes	no	no	1	0	0	1	0	0	0	0	0	0	1	fridge	4	>5	yes	no	no	yes	yes	no	5	2	200	0	1	0	0	0	1	1	0	1	0	0	0	0	ETHZ	4
ad8cb	May	47.24	7.23	732	3.65	14.57	9.042837329	6.922115737	artisanal bakery	Switzerland	pre	started myself	plastic container	closed lid	yes	other	endosperm	yes	no	tap water	no	16	1000	28	3	warm place	400	5		yes	yes	no	no	no	no	no	0	0	0	0	0	0	0	0	1	0	5	fridge	16	professional	yes	no	no	no	no	no	10		200														ETHZ	2
2150b	May	47.24	7.23	732	3.7	16.54	9.68512686	7.222716471	artisanal bakery	Switzerland	pre	received from a home baker	plastic container	closed lid	yes	spelt	endosperm	no	no	tap water	no	16	2000	28	3	warm place	300	5		yes	yes	no	no	no	no	no	0	0	0	0	0	0	1	0	0	0	5	fridge	16	professional	yes	no	no	no	no	no	10		150														ETHZ	2
c7075	May	47.24	7.23	732	3.61	14.86	9.066024279	7.020665837	artisanal bakery	Switzerland	covid	started myself	plastic container	closed lid	yes	other	other	yes	no	tap water	no	4	60	20	8	warm place	30	5		yes	yes	no	no	no	no	no	0	0	0	0	0	0	0	0	0	1	5	fridge	2	professional	yes	no	no	no	no	no	4		200														ETHZ	2
e88e8	May	47.24	7.23	732	4.01	14.34	9.752816431	7	artisanal bakery	Switzerland	pre	received from a bakery	plastic container	closed lid	yes	wheat	endosperm	no	no	tap water	yes	8	0	28	3	warm place	500	5		yes	yes	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	5	fridge	4	professional	yes	no	no	no	no	no	20																ETHZ	5
718c2	May	47.24	7.23	732	3.68	21.18	9.050970335	7.103803721	artisanal bakery	Switzerland	pre	started myself	plastic container	closed lid	yes	rye	endosperm	yes	yes	tap water	no	4	400	28	3	warm place	100	5		yes	yes	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	5	fridge	8	professional	yes	no	no	no	no	no	20		200														ETHZ	2
196c4	May	47.23	7.65	421	3.7	10.52	8.854633026	7.805652789	household	Switzerland	covid	started myself	other	plastic wrap	yes	wheat	endosperm	no	no	tap water (descaled/filtered)	no	8	120	22	3	kitchen counter	300	5	4.6	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	2 to 5	yes	no	no	yes	yes	no	3	18	200	0	2	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
e7740	May	47.23	8.85	420	3.88	25.16	9.084147652	8.416801299	household	Switzerland	post	received from a bakery	glass jar	loose lid	yes	rye	wholemeal	yes	no	tap water	no	4	50	22	24	kitchen counter	150	8	4.1	yes	yes	no	no	no	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	1	4	200	1	1	0	0	0	0	0	0	2	0	0	1	0	ETHZ	2
7cae6	June	47.04	9.07	472	3.97	17.59	9	5.851258349	household	Switzerland	post	started myself	glass jar	loose lid	yes	spelt	wholemeal	yes	yes	tap water	no	8	80	21	10	kitchen counter	250	4	4.1	no	no	no	no	no	no	no	0	0	0	0	1	1	0	0	0	0	1	fridge	1	<0.5	yes	no	yes	no	no	no	0	2	175	0	1	0	0	1	0	1	0	1	0	0	0	0	ETHZ	3
0567c	May	46.91	8.4	533	3.69	22.95	9.028774438	7.842716773	bakery	Switzerland	covid	started myself	plastic container	loose lid	yes	rye	endosperm	no	no	tap water	no	8	1000	22	1	kitchen counter	3000	5		no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	4	professional	yes	no	no	no	no	no	3	2	200	0	3	0	0	0	0	2	0	0	0	0	0	0	ETHZ	4
e1db5	May	46.95	7.41	556	3.65	17.41	9.155336037	6.934870131	household	Switzerland	pre	received from a home baker	glass jar	closed lid	yes	rye	endosperm	no	no	tap water	no	2	60	23	15	kitchen counter	50	7	4.4	no	no	no	no	yes	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	1	0.5 to 2	yes	no	no	no	yes	no	5	6	200	2	0	0	0	0	0	0	1	0	0	0	1	0	ETHZ	3
867f2	May	46.63	8.6	1598	3.66	12.7	8.877529837	7.454741989	artisanal bakery	Switzerland	post	started myself	plastic container	loose lid	yes	other	mix	yes	yes	tap water	no	30	3000	26	3	proofing chamber	3000	20	4.6	no	yes	no	no	no	yes	no	0.8333	0	0	0.167	0	0	0	0	0	0	3	keep at RT	30	professional	yes	no	no	no	no	no	0	2	151.6666667	3	1	0	0	0	0	1	0	0	0	0	2	0	ETHZ	3
20cd4	June	46.9	6.94	486	3.72	15.88	9.512810576	5.444116199	artisanal bakery	Switzerland	pre	started myself	plastic container	loose lid	no	rye	endosperm	yes	yes	tap water	no		75	28	2	warm place	150	5		yes	no	no	no	no	yes	no	0	0	0	1	0	0	0	0	0	0	1	fridge	12	professional	yes	no	yes	yes	yes	no	7		250														ETHZ	5
19ffd	June	46.46	6.2	866	3.72	14.23	8.69271298	6.590036091	artisanal bakery	Switzerland	covid	started myself	plastic container	loose lid	yes	wheat	endosperm	yes	no	tap water	no	4	2000	22	1	kitchen counter	2000	4	4.6	yes	no	yes	yes	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	professional	yes	no	no	no	no	no	3	3	200	2	0	1	0	1	0	0	0	2	0	0	2	0	ETHZ	2
045d8	June	46.74	6.92	717	3.56	17.34	8.612783857	6.847684512	artisanal bakery	Switzerland	pre	started myself	plastic container	loose lid	yes	wheat	endosperm	yes	yes	tap water	no	30	4000	22	3	warm place	4000	0		no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	30	professional	yes	no	no	no	no	no	6	5	170														ETHZ	2
dc0f7	July	46.77	6.67	577	3.49	16.52	9.071941167	6.745049336	artisanal bakery	Switzerland	pre	started myself	other	plastic wrap	yes	wheat	wholemeal	yes	no	tap water	no	12	2000	24	11	kitchen counter	200	4	4.4	yes	no	yes	no	no	yes	no	0	1	1	0	0	0	0	0	0	0	2	fridge	12	professional	yes	no	no	no	no	no	14	3	200	1	1	0	0	0	0	0	0	1	0	0	1	0	ETHZ	2
5365c	July	46.77	6.67	577	3.55	14.21	8.641832846	6.721315232	artisanal bakery	Switzerland	pre	started myself	plastic container	plastic wrap	yes	wheat	endosperm	yes	no	tap water	no	1	100	28	8	warm place	250	4	4.4	yes	no	yes	no	no	yes	no	1	0	1	0	0	0	0	0	0	0	2	fridge	12	professional	yes	no	no	no	no	no	6	3	145	1	1	0	0	0	0	0	0	0	0	1	0	0	ETHZ	2
976a8	May	46.87	7.56	527	3.85	11.44	8.350398874	7.78402246	household	Switzerland	post	started myself	glass jar	closed lid	no	wheat	endosperm	no	no	tap water	no	4	40	21	10	kitchen counter	40	5	4.4	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	0.5 to 2	yes	no	no	no	yes	no	1	1	150	0	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
a64a4	June	47.15	8.52	498	3.61	16.75	9.143228242	6.899273187	household	Switzerland	post	started myself	glass jar	loose lid	yes	rye	wholemeal	yes	no	tap water	no	2	50	6	24	fridge	200	6	4.6	no	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	<0.5	yes	no	no	yes	no	no	0	6	200	1	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
9ac01	June	47.21	8.61	644	3.95	15.16	9.55353934	7.771735789	household	Switzerland	post	started myself	glass jar	loose lid	yes	rye	wholemeal	yes	yes	tap water	no	4	50	19	24	fridge	150	5		no	no	no	no	yes	yes	no	0	0	0	0	1	0	0	0	0	0	1	fridge	3	<0.5	yes	no	no	yes	no	no	0	0	200														ETHZ	4
17c62	July	47.38	8.56	517	3.59	15.1	9.021690469	7.062734722	household	Switzerland	post	received from a home baker	glass jar	loose lid	no	other	mix	no	no	tap water	no	4	40	23	8	kitchen counter	110	5	4.4	no	no	no	no	no	no	no	0.5	0	0	0	0	0	0.5	0	0	0	1	fridge	1	0.5 to 2	no	no	yes	no	no	no	0	1	200	2	0	0	0	0	0	0	0	1	0	0	0	0	ETHZ	1
ibbh023	January	44.4	26.2	64	4.2	9.8	9.11	7.74	household	Romania	pre	received from a bakery	glass jar	closed lid	yes	wheat	wholemeal	no	no	tap water	no	4	30	24	4	kitchen counter	50	4		no	no	no	no	yes	yes	no	0	0	1	0	0	0	0	0	0	0	4	fridge	4	2 to 5	yes	no	no	no	no	no	4	28	200														IBB	3
ibbh024	January	44.45	26.13	83	4.6	6.1	8.785329835	6.602059991	household	Romania	covid	started myself	glass jar	loose lid	no	wheat	endosperm	no	no	tap water	no	4	53	20	9	kitchen counter	100	6	5	no	yes	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	3	0	203.7735849	2	1	2	0	0	0	2	0	0	0	0	0	0	IBB	3
ibbh025	January	44.48	26.18	83	3.9	15	9.322219295	6.949390007	household	Romania	post	other	glass jar	loose lid	no	wheat	endosperm	yes	yes	tap water (descaled/filtered)	no	16	80	21.6	7	kitchen counter	260	3	5.5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	16	<0.5	yes	no	no	yes	no	no	0	0	200	2	0	0	0	0	0	0	0	0	0	0	0	0	IBB	3
ibbh028	March	45.2	27.9	19	3.9	6.5	9.041392685	6.33243846	household	Romania	pre	received from a home baker	glass jar	closed lid	yes	wheat	endosperm	no	yes	bottled water	no	3	50	22	12	kitchen counter	100	5		yes	yes	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	no	no	5	28	200														IBB	4
ibbh030	March	44.3	26.1	74	3.6	10.6	7.698970004	5.041392685	household	Romania	covid	started myself	glass jar	loose lid	yes	wheat	endosperm	no	yes	tap water (descaled/filtered)	no	4	58	21	10	kitchen counter	100	4	5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	no	yes	no	4	0	168.9655172	0	0	1	0	0	0	1	0	0	0	0	1	0	IBB	1
ibbh032	January	46.7	23.5	348	4	8.1	5.230448921	7.602059991	household	Romania	pre	received from a bakery	glass jar	loose lid	no	wheat	endosperm	no	no	tap water (descaled/filtered)	no	4	23	19	9	kitchen counter	53	5	3.5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	>5	yes	no	no	yes	yes	no	7	0	186.9565217	2	0	0	0	0	0	1	0	0	0	0	0	0	IBB	1
ibbh033	February	46.7	23.5	373	3.7	9.8	9.301029996	6.491361694	household	Romania	pre	started myself	glass jar	loose lid	no	wheat	endosperm	no	yes	tap water (descaled/filtered)	no	30	100	20	4	kitchen counter	100	20	4.5	no	no	no	no	no	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	8	>5	yes	yes	no	no	yes	no	7	0	200	0	0	0	0	0	0	1	1	0	0	0	1	0	IBB	3
ibbh034	January	46.2	24.8	359	4.1	8.3	9.176091259	7.389166084	household	Romania	pre	received from a home baker	glass jar	loose lid	no	wheat	endosperm	no	no	tap water (descaled/filtered)	no	8	30	20	8	kitchen counter	30	7	5.5	yes	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	6	>5	yes	no	no	no	no	no	4	0	200	1	0	1	0	0	0	0	0	0	0	0	1	0	IBB	3
ibbh035	January	45.7	25.6	526	3.5	8.6	9.113943352	6.939519253	household	Romania	post	received from a bakery	glass jar	loose lid	yes	wheat	endosperm	yes	yes	bottled water	no	12	100	23	10	kitchen counter	50	6	4	yes	yes	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	8	0.5 to 2	yes	no	no	no	yes	no	2	0	200	1	1	0	0	0	0	1	0	1	0	1	0	0	IBB	2
ibbh036	February	46.7	23.4	388	3.8	10.8	8.929418926	7.278753601	household	Romania	post	received from a bakery	glass jar	loose lid	yes	wheat	endosperm	no	no	spring water	no	12	90	23	7	kitchen counter	30	6	5	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	12	0.5 to 2	yes	no	no	no	no	no	0	0	166.6666667	1	0	1	0	0	0	1	0	0	0	1	0	0	IBB	1
ibbh037	February	45.7	21.2	88	3.6	11.9	9.06069784	7.243038049	household	Romania	covid	started myself	glass jar	loose lid	no	other	mix	yes	yes	tap water (descaled/filtered)	no	12	60	22	11	kitchen counter	50	5	5	no	no	no	no	no	no	no	0.5	0	0	0.5	1	0	0	0	0	0	2	fridge	8	2 to 5	yes	no	no	yes	yes	no	3	0	186.6666667	1	1	0	0	0	0	1	0	0	0	0	1	0	IBB	2
ibbh038	March	45.1	24.3	162	3.7	9.6	8.919078092	6.255272505	household	Romania	pre	started myself	glass jar	closed lid	no	wheat	endosperm	no	yes	tap water	no	1	60	21	10	kitchen counter	120	8		yes	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	no	no	no	no	no	no	4	28	200														IBB	1
ibbh039	January	47.7	26.6	168	3.8	16.2	8.903089987	4.491361694	household	Romania	post	started myself	plastic container	closed lid	no	wheat	endosperm	yes	no	bottled water	no	1	150	24	24	kitchen counter	160	5		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	<0.5	yes	no	yes	yes	yes	no	0	6	200														IBB	2
ibbh041	January	47.7	26.6	168	3.8	15.3	7.73239376	6.397940009	household	Romania	post	received from a bakery	plastic container	closed lid	no	wheat	endosperm	yes	no	bottled water	no	1	150	24	8	kitchen counter	300	4		no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0	2	fridge	1	<0.5	yes	no	no	yes	yes	no	0	0	200														IBB	2
ibbh040	March	45.6	27.5	31	3.7	6.8	8.130333768	6.176091259	household	Romania	post	started myself	plastic container	loose lid	no	wheat	endosperm	no	yes	spring water	no	12	40	19	6	kitchen counter	100	5	5	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	keep at RT	8	professional	yes	no	no	no	no	no	1	0	200	0	0	0	0	0	0	0	0	0	0	0	3	0	IBB	3
ibbh042	February	44.3	26.1	77	3.6	12.1	9.397940009	7.414973348	household	Romania	pre	received from a bakery	glass jar	loose lid	yes	wheat	wholemeal	yes	no	tap water (descaled/filtered)	no	3	30	22	12	kitchen counter	70	4	5	no	yes	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	1	fridge	1	2 to 5	yes	no	no	no	yes	no	11	0	200	1	1	0	0	0	0	0	0	1	0	0	0	0	IBB	5
ibbh043	March	46.9	21.9	164	3.6	4.4	8.662757832	6.662757832	household	Romania	post	started myself	glass jar	loose lid	no	wheat	endosperm	yes	no	spring water	no	8	100	22	10	kitchen counter	100	6	5	no	no	no	no	yes	yes	no	1	0	0	0	0	0	0	0	0	0	1	fridge	12	0.5 to 2	yes	no	no	no	yes	no	1	0	200	1	0	0	0	0	0	0	0	0	0	0	0	0	IBB	3
ibbh044	January	44.6	26.1	94	3.8	10.3	9.447158031	7.204119983	household	Romania	covid	started myself	glass jar	loose lid	no	wheat	endosperm	yes	yes	tap water	no	3	100	20	6	kitchen counter	100	4	5	no	no	no	no	yes	no	no	1	0	0	0	0	0	0	0	0	0	1	fridge	1	2 to 5	yes	no	no	no	yes	no	2	0	200	1	1	1	0	0	0	1	1	0	1	0	0	1	IBB	3
ibbh045	January	44.4	26	86	3.7	12.6	9.397940009	7.556302501	household	Romania	post	started myself	glass jar	loose lid	no	other	other	no	yes	tap water (descaled/filtered)	no	4	30	22	12	kitchen counter	100	4		no	no	no	no	yes	no	yes	0	0	0	0	0	0	0	0	0	0	1	fridge	4	<0.5	yes	no	no	no	no	no	0		200														IBB	3
ibbh046	March	44.3	26.1	81	3.9	13.3	9.447158031	7.84509804	household	Romania	post	received from a home baker	glass jar	loose lid	no	other	mix	yes	yes	bottled water	yes	8	90	26	10	kitchen counter	30	7	4.5	no	no	no	no	no	no	no	0.5	0	0.4	0.1	0	0	0	0	0	0	1	fridge	12	0.5 to 2	yes	no	no	no	no	no	2	0	200	4	1	0	0	0	0	0	1	0	0	0	1	0	IBB	3
ibbh047	March	44.4	26	85	3.8	22.7	8.84509804	0	household	Romania	pre	received from a bakery	glass jar	closed lid	no	wheat	wholemeal	no	no	tap water	no	1	100	22	12	kitchen counter	150	7		no	no	no	no	no	yes	no	0	0	1	0	0	0	0	0	0	0	1	fridge	4	>5	yes	no	no	no	yes	no	8		175														IBB	1
