	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
0d424	September	47.38	8.54	416	3.78	14.13			household	Switzerland	post	started myself	glass jar	closed lid	yes	wheat	wholemeal	no	no	tap water	no	2	75	23	10	kitchen counter	70	8		no	no	no	no	yes	no	no	0	0	1	0	0	0	0	0	0	0	1	fridge	1	2 to 5	no	no	no	no	yes	no	0		200														ETHZ	5
e006a	October	47.38	8.51	413	3.52	17.05			household	Switzerland	pre	started myself	glass jar	loose lid	yes	wheat	wholemeal	no	no	tap water	yes	4	50	23	24	kitchen counter	100	5	4.4	no	no	no	no	no	no	no	0	1	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	no	yes	no	yes	yes	no	4	2	200	1	1	0	0	0	0	1	0	0	0	0	1	0	ETHZ	3
1b811	September	47.41	8.54	442	3.65	20.47			household	Switzerland	covid	received from a home baker	glass jar	loose lid	yes	rye	endosperm	yes	yes	tap water	no	2	100	20	12	kitchen counter	100	4	4.1	no	no	no	no	yes	no	no	0	0	0	1	1	0	0	0	0	0	2	fridge	1	2 to 5	yes	no	no	yes	no	no	3	2	200	1	1	1	0	0	0	0	1	1	0	0	1	0	ETHZ	4
4faa1	April	49.18	10.66	420	3.75	26.38	5.397505145	5.820757175	household	Germany	post	received from a bakery	glass jar	loose lid	yes	spelt	endosperm	yes	no	tap water	yes	8	46	30	3	warm place	50	7	4.6	no	no	no	no	yes	no	no	0	0	0	0	0	0	1	0	0	0	2	fridge	3	0.5 to 2	yes	no	yes	no	no	no	0	13	150	2	0	0	0	0	0	1	0	0	0	0	0	0	ETHZ	2
0c8ac	October	47.49	7.61	293	3.71	29.95			household	Switzerland	post	other	glass jar	other	yes	other	other	yes	no	tap water	no	4	15	24	5	kitchen counter	40	5		no	no	no	no	yes	no	no	0	0	0	0	0	0	0	0	0	1	1	fridge	1	<0.5	yes	no	no	no	yes	no	0		200														ETHZ	3
a25b0	November	47.39	8.18	400	3.61	19.1	11.02036128	9.062485601	household	Switzerland	covid	started myself	glass jar	closed lid	yes	wheat	wholemeal	yes	yes	tap water (descaled/filtered)	no	4	75	28	5	warm place	50	5	4.6	no	no	no	no	yes	no	no	0	1	0	0	0	0	0	0	0	0	1	fridge	4	2 to 5	no	no	yes	no	yes	no	2	4	200	3	1	0	0	0	0	0	0	1	0	0	0	0	ETHZ	3
1efe0	November	47.38	8.55	484	3.9	8.44	8.939896927	8.440061852	household	Switzerland	post	received from a home baker	glass jar	loose lid	yes	rye	endosperm	yes	yes	tap water	no	4	60	20	4	kitchen counter	160	4	4.6	no	no	no	no	yes	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	4	0.5 to 2	yes	yes	yes	no	no	no	0	2	200	0	2	2	0	0	0	0	0	1	0	0	1	0	ETHZ	3
d9901	January	50.13	8.69	134	3.98	14.01	10.5843312	8.03796929	household	Germany	post	received from a home baker	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	4	20	19	2	kitchen counter	45	7	5.4	no	no	no	no	yes	no	no	0	0	0	0	1	0	0	0	0	0	1	fridge	1	<0.5	yes	no	no	no	no	no	0	6	200	2	0	0	0	0	2	0	0	0	1	1	1	0	ETHZ	5
2792b	December	46.53	6.65	593	3.58	17.15	10.31098893	8.520513847	household	Switzerland	pre	started myself	glass jar	closed lid	yes	rye	endosperm	yes	no	tap water	no	1	50	5	24	fridge	150	5	3.8	no	no	no	no	yes	no	no	0	0	0	1	0	0	0	0	0	0	1	fridge	1	>5	no	no	no	no	no	no	6	5	200	0	1	0	0	0	0	1	0	1	0	0	0	0	ETHZ	5
1af22	January	47.41	8.65	488	3.73	25.9	10.5327544	7.44743605	household	Switzerland	pre	started myself	glass jar	other	no	wheat	wholemeal	yes	no	tap water (descaled/filtered)	no	4	250	18	20	kitchen counter	250	7	4.1	no	yes	no	no	yes	yes	no	0	0	1	0	0	0	0	0	0	0	1	fridge	3	>5	yes	no	yes	no	no	no	6	4	180	0	0	0	0	0	0	0	0	1	0	0	0	0	ETHZ	3
